System,Control,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic,Year,Month,Day,Day_of_Week,Quarter,Temperature_Difference,Power_Index
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,48.2,86.0,No failure,2016,9,10,5,3,9.968722723305177,74287.88375505316
0,A,L,299.0,309.4,1798.0,39.9,110.52423968684133,No failure,2016,9,9,4,3,10.399999999999977,71740.2
0,A,L,299.0,309.4,1419.0,39.9,110.52423968684133,No failure,2016,9,11,6,3,10.399999999999977,56618.1
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,32.5,93.0,No failure,2016,9,8,3,3,9.968722723305177,50090.37805060638
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,34.7,95.0,No failure,2016,12,27,1,4,9.968722723305177,53481.111334032044
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,48.6,98.0,No failure,2016,12,27,1,4,9.968722723305177,74904.380715676
0,A,M,298.9,309.2,1581.0,39.9,110.52423968684133,No failure,2016,12,30,4,4,10.300000000000011,63081.899999999994
0,A,L,298.8,309.1,1439.0,39.9,110.52423968684133,No failure,2016,12,27,1,4,10.300000000000011,57416.1
0,B,H,300.0643584521385,310.03308117544367,1379.0,50.7,110.52423968684133,No failure,2017,4,13,3,2,9.968722723305177,69915.3
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,52.5,111.0,No failure,2017,4,13,3,2,9.968722723305177,80915.22608174877
0,B,L,300.0643584521385,310.03308117544367,1362.0,45.4,110.52423968684133,No failure,2017,4,11,1,2,9.968722723305177,61834.799999999996
0,B,L,300.0643584521385,310.03308117544367,1368.0,50.8,110.52423968684133,No failure,2017,4,14,4,2,9.968722723305177,69494.4
0,A,M,298.8,309.1,1368.0,39.9,110.52423968684133,No failure,2017,4,12,2,2,10.300000000000011,54583.2
0,B,H,300.0643584521385,310.03308117544367,1372.0,48.5,110.52423968684133,No failure,2017,7,21,4,3,9.968722723305177,66542.0
0,A,M,298.8,309.1,1472.0,39.9,110.52423968684133,No failure,2017,7,22,5,3,10.300000000000011,58732.799999999996
0,A,L,298.8,309.1,1489.0,39.9,110.52423968684133,No failure,2017,7,24,0,3,10.300000000000011,59411.1
0,A,M,298.7,309.0,1843.0,39.9,110.52423968684133,No failure,2017,7,22,5,3,10.300000000000011,73535.7
0,B,L,300.0643584521385,310.03308117544367,1418.0,46.3,110.52423968684133,No failure,2017,7,22,5,3,9.968722723305177,65653.4
0,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,53.9,135.0,No failure,2017,10,3,1,4,9.968722723305177,83072.96544392873
0,A,M,298.9,309.2,1412.0,39.9,110.52423968684133,No failure,2017,12,10,6,4,10.300000000000011,56338.799999999996
0,B,L,300.0643584521385,310.03308117544367,2861.0,4.6,110.52423968684133,Power Failure,2017,12,8,4,4,9.968722723305177,13160.599999999999
0,A,L,298.9,309.1,1383.0,39.9,110.52423968684133,No failure,2017,12,13,2,4,10.200000000000045,55181.7
0,B,H,300.0643584521385,310.03308117544367,1497.0,43.8,110.52423968684133,No failure,2018,2,26,0,1,9.968722723305177,65568.59999999999
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,35.1,152.0,No failure,2018,2,27,1,1,9.968722723305177,54097.60829465489
0,A,L,298.7,309.0,1691.0,39.9,110.52423968684133,No failure,2018,6,3,6,2,10.300000000000011,67470.9
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,40.7,156.0,No failure,2018,8,21,1,3,9.968722723305177,62728.56574337476
0,B,L,300.0643584521385,310.03308117544367,1477.0,42.4,110.52423968684133,No failure,2018,8,18,5,3,9.968722723305177,62624.799999999996
0,B,L,300.0643584521385,310.03308117544367,1513.0,40.3,110.52423968684133,No failure,2018,11,1,3,4,9.968722723305177,60973.899999999994
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,29.5,162.0,No failure,2018,11,2,4,4,9.968722723305177,45466.65084593502
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,54.4,165.0,No failure,2018,10,31,2,4,9.968722723305177,83843.58664470729
0,B,L,300.0643584521385,310.03308117544367,1393.0,52.6,110.52423968684133,No failure,2019,2,25,0,1,9.968722723305177,73271.8
0,B,M,300.0643584521385,310.03308117544367,1592.0,38.2,110.52423968684133,No failure,2019,2,26,1,1,9.968722723305177,60814.4
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,22.9,172.0,No failure,2019,2,26,1,1,9.968722723305177,35294.45099565803
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,25.9,174.0,No failure,2019,2,27,2,1,9.968722723305177,39918.17820032939
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,38.6,177.0,No failure,2019,3,2,5,1,9.968722723305177,59491.95670010481
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,45.1,179.0,No failure,2019,6,25,1,2,9.968722723305177,69510.03231022609
0,B,M,300.0643584521385,310.03308117544367,1679.0,28.7,110.52423968684133,No failure,2019,6,23,6,2,9.968722723305177,48187.299999999996
0,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,44.1,184.0,No failure,2019,6,25,1,2,9.968722723305177,67968.78990866897
0,A,L,298.8,308.9,1527.0,39.9,110.52423968684133,No failure,2019,6,27,3,2,10.099999999999966,60927.299999999996
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,65.7,191.0,Overstrain Failure,2019,6,23,6,2,9.968722723305177,101259.62578230274
0,B,M,300.0643584521385,310.03308117544367,1924.0,22.6,110.52423968684133,No failure,2019,9,12,3,3,9.968722723305177,43482.4
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,45.5,196.0,No failure,2019,11,23,5,4,9.968722723305177,70126.52927084893
0,A,L,298.9,309.1,1369.0,39.9,110.52423968684133,No failure,2020,3,11,2,1,10.200000000000045,54623.1
0,B,L,300.0643584521385,310.03308117544367,1592.0,35.0,110.52423968684133,No failure,2020,3,14,5,1,9.968722723305177,55720.0
0,B,L,300.0643584521385,310.03308117544367,1601.0,32.3,110.52423968684133,No failure,2020,7,8,2,3,9.968722723305177,51712.299999999996
0,A,L,298.8,308.9,1379.0,39.9,110.52423968684133,No failure,2020,11,5,3,4,10.099999999999966,55022.1
0,A,L,298.8,308.9,1461.0,39.9,110.52423968684133,No failure,2020,11,10,1,4,10.099999999999966,58293.9
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,41.3,208.0,Tool Wear Failure,2021,2,13,5,1,9.968722723305177,63653.31118430902
1,B,L,300.0643584521385,310.03308117544367,1398.0,51.5,110.52423968684133,No failure,2014,3,19,2,1,9.968722723305177,71997.0
1,A,L,298.8,308.9,1402.0,39.9,110.52423968684133,No failure,2014,7,13,6,3,10.099999999999966,55939.799999999996
1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,49.9,4.0,No failure,2014,7,10,3,3,9.968722723305177,76907.99583770025
1,A,L,298.9,308.9,1450.0,39.9,110.52423968684133,No failure,2014,10,31,4,4,10.0,57855.0
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,40.8,11.0,No failure,2014,11,4,1,4,9.968722723305177,62882.689983530465
1,B,L,300.0643584521385,310.03308117544367,1469.0,40.1,110.52423968684133,No failure,2014,11,1,5,4,9.968722723305177,58906.9
1,A,L,298.9,308.9,1422.0,39.9,110.52423968684133,No failure,2014,11,4,1,4,10.0,56737.799999999996
1,B,M,300.0643584521385,310.03308117544367,1804.0,26.8,110.52423968684133,No failure,2014,11,2,6,4,9.968722723305177,48347.200000000004
1,B,H,300.0643584521385,310.03308117544367,1436.0,43.9,110.52423968684133,No failure,2015,1,4,6,1,9.968722723305177,63040.4
1,B,L,300.0643584521385,310.03308117544367,1544.0,31.8,110.52423968684133,No failure,2015,1,7,2,1,9.968722723305177,49099.200000000004
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,45.2,27.0,No failure,2015,1,7,2,1,9.968722723305177,69664.1565503818
1,B,M,300.0643584521385,310.03308117544367,1487.0,39.5,110.52423968684133,No failure,2015,5,4,0,2,9.968722723305177,58736.5
1,B,L,300.0643584521385,310.03308117544367,1753.0,25.8,110.52423968684133,No failure,2015,5,3,6,2,9.968722723305177,45227.4
1,B,L,300.0643584521385,310.03308117544367,1830.0,24.9,110.52423968684133,No failure,2015,7,23,3,3,9.968722723305177,45567.0
1,B,M,300.0643584521385,310.03308117544367,1727.0,27.1,110.52423968684133,No failure,2015,7,25,5,3,9.968722723305177,46801.700000000004
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,43.0,40.0,No failure,2015,7,28,1,3,9.968722723305177,66273.42326695613
1,B,L,300.0643584521385,310.03308117544367,1622.0,31.9,110.52423968684133,No failure,2015,7,27,0,3,9.968722723305177,51741.799999999996
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,52.2,44.0,No failure,2015,7,25,5,3,9.968722723305177,80452.85336128164
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,35.3,47.0,No failure,2015,11,23,0,4,9.968722723305177,54405.85677496631
1,B,M,300.0643584521385,310.03308117544367,1750.0,29.9,110.52423968684133,No failure,2015,11,22,6,4,9.968722723305177,52325.0
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,32.7,53.0,No failure,2015,11,21,5,4,9.968722723305177,50398.626530917805
1,A,L,298.8,308.8,1523.0,39.9,110.52423968684133,No failure,2015,11,23,0,4,10.0,60767.7
1,A,L,298.8,308.9,1852.0,39.9,110.52423968684133,No failure,2016,1,29,4,1,10.099999999999966,73894.8
1,A,L,298.8,308.8,1991.0,39.9,110.52423968684133,No failure,2016,1,27,2,1,10.0,79440.9
1,A,L,298.8,308.8,1555.0,39.9,110.52423968684133,No failure,2016,1,29,4,1,10.0,62044.5
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,40.5,63.0,No failure,2016,4,29,4,2,9.968722723305177,62420.317263063334
1,A,L,298.8,308.7,1450.0,39.9,110.52423968684133,No failure,2016,5,1,6,2,9.899999999999977,57855.0
1,A,L,298.8,308.7,1591.0,39.9,110.52423968684133,No failure,2016,4,29,4,2,9.899999999999977,63480.899999999994
1,B,L,300.0643584521385,310.03308117544367,1445.0,48.5,110.52423968684133,No failure,2016,4,28,3,2,9.968722723305177,70082.5
1,B,M,300.0643584521385,310.03308117544367,1497.0,46.8,110.52423968684133,No failure,2016,4,26,1,2,9.968722723305177,70059.59999999999
1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,32.7,75.0,No failure,2016,8,1,0,3,9.968722723305177,50398.626530917805
1,A,L,298.9,308.7,1572.0,39.9,110.52423968684133,No failure,2016,7,31,6,3,9.800000000000011,62722.799999999996
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,22.5,82.0,No failure,2016,8,2,1,3,9.968722723305177,34677.95403503519
1,A,H,298.7,308.6,1499.0,39.9,110.52423968684133,No failure,2016,8,4,3,3,9.900000000000034,59810.1
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,39.5,89.0,No failure,2016,8,3,2,3,9.968722723305177,60879.07486150622
1,B,M,300.0643584521385,310.03308117544367,1486.0,41.9,110.52423968684133,No failure,2016,11,25,4,4,9.968722723305177,62263.4
1,A,L,298.8,308.6,1680.0,39.9,110.52423968684133,No failure,2016,11,24,3,4,9.800000000000011,67032.0
1,A,L,298.8,308.6,1431.0,39.9,110.52423968684133,No failure,2017,3,6,0,1,9.800000000000011,57096.9
1,B,L,300.0643584521385,310.03308117544367,1564.0,34.1,110.52423968684133,No failure,2017,3,3,4,1,9.968722723305177,53332.4
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,33.0,101.0,No failure,2017,3,3,4,1,9.968722723305177,50860.999251384936
1,A,M,298.8,308.6,1707.0,39.9,110.52423968684133,No failure,2017,5,12,4,2,9.800000000000011,68109.3
1,B,L,300.0643584521385,310.03308117544367,1467.0,40.7,110.52423968684133,No failure,2017,8,2,2,3,9.968722723305177,59706.9
1,A,L,298.9,308.7,1433.0,39.9,110.52423968684133,No failure,2017,8,3,3,3,9.800000000000011,57176.7
1,A,L,298.9,308.7,1558.0,39.9,110.52423968684133,No failure,2017,8,3,3,3,9.800000000000011,62164.2
1,A,L,299.0,308.8,1310.0,39.9,110.52423968684133,No failure,2017,10,11,2,4,9.800000000000011,52269.0
1,B,L,300.0643584521385,310.03308117544367,1546.0,43.4,110.52423968684133,No failure,2017,10,13,4,4,9.968722723305177,67096.4
1,A,L,298.9,308.7,1727.0,39.9,110.52423968684133,No failure,2017,10,11,2,4,9.800000000000011,68907.3
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,32.2,118.0,No failure,2017,10,13,4,4,9.968722723305177,49628.00533013925
1,A,L,299.0,308.6,1329.0,39.9,110.52423968684133,No failure,2017,10,16,0,4,9.600000000000023,53027.1
1,B,L,300.0643584521385,310.03308117544367,1413.0,46.5,110.52423968684133,No failure,2017,12,23,5,4,9.968722723305177,65704.5
1,B,L,300.0643584521385,310.03308117544367,1587.0,38.6,110.52423968684133,No failure,2017,12,24,6,4,9.968722723305177,61258.200000000004
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,34.3,126.0,No failure,2018,4,20,4,2,9.968722723305177,52864.61437340919
1,A,L,298.8,308.4,1473.0,39.9,110.52423968684133,No failure,2018,4,20,4,2,9.599999999999966,58772.7
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,27.7,130.0,No failure,2018,4,19,3,2,9.968722723305177,42692.4145231322
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,43.2,132.0,No failure,2018,7,12,3,3,9.968722723305177,66581.67174726757
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,49.6,135.0,No failure,2018,7,13,4,3,9.968722723305177,76445.62311723312
1,B,L,300.0643584521385,310.03308117544367,1369.0,53.0,110.52423968684133,No failure,2018,7,12,3,3,9.968722723305177,72557.0
1,B,M,300.0643584521385,310.03308117544367,1711.0,28.5,110.52423968684133,No failure,2018,10,2,1,4,9.968722723305177,48763.5
1,A,H,298.7,308.5,1420.0,39.9,110.52423968684133,No failure,2018,10,2,1,4,9.800000000000011,56658.0
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,55.3,148.0,No failure,2018,10,4,3,4,9.968722723305177,85230.7048061087
1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,49.4,150.0,No failure,2018,10,3,2,4,9.968722723305177,76137.3746369217
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,55.8,155.0,No failure,2018,10,5,4,4,9.968722723305177,86001.32600688726
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,36.1,157.0,No failure,2018,12,17,0,4,9.968722723305177,55638.85069621201
1,B,L,300.0643584521385,310.03308117544367,1544.0,35.2,110.52423968684133,No failure,2019,3,23,5,1,9.968722723305177,54348.8
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,28.2,161.0,No failure,2019,3,24,6,1,9.968722723305177,43463.03572391076
1,B,H,300.0643584521385,310.03308117544367,1407.0,50.5,110.52423968684133,No failure,2019,3,23,5,1,9.968722723305177,71053.5
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,42.4,169.0,No failure,2019,7,8,0,3,9.968722723305177,65348.677826021856
1,B,L,300.0643584521385,310.03308117544367,1513.0,33.6,110.52423968684133,No failure,2019,7,12,4,3,9.968722723305177,50836.8
1,B,H,300.0643584521385,310.03308117544367,1612.0,36.1,110.52423968684133,No failure,2019,7,10,2,3,9.968722723305177,58193.200000000004
1,B,L,300.0643584521385,310.03308117544367,1515.0,40.1,110.52423968684133,No failure,2019,10,28,0,4,9.968722723305177,60751.5
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,48.0,181.0,No failure,2019,10,30,2,4,9.968722723305177,73979.63527474173
1,A,L,298.4,308.3,1473.0,39.9,110.52423968684133,No failure,2020,2,26,2,1,9.900000000000034,58772.7
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,42.7,186.0,No failure,2020,6,21,6,2,9.968722723305177,65811.050546489
1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,37.6,188.0,No failure,2020,6,20,5,2,9.968722723305177,57950.71429854769
1,A,M,298.4,308.2,1584.0,39.9,110.52423968684133,No failure,2020,6,17,2,2,9.800000000000011,63201.6
1,B,L,300.0643584521385,310.03308117544367,1850.0,27.0,110.52423968684133,No failure,2020,9,16,2,3,9.968722723305177,49950.0
1,B,L,300.0643584521385,310.03308117544367,1528.0,36.2,110.52423968684133,No failure,2020,9,16,2,3,9.968722723305177,55313.600000000006
1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,19.8,198.0,No failure,2020,9,15,1,3,9.968722723305177,30516.599550830964
1,A,M,298.4,308.1,1495.0,39.9,110.52423968684133,No failure,2020,9,13,6,3,9.700000000000045,59650.5
1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,43.5,206.0,No failure,2020,9,16,2,3,9.968722723305177,67044.0444677347
1,B,M,300.0643584521385,310.03308117544367,1499.0,40.0,110.52423968684133,No failure,2021,1,14,3,1,9.968722723305177,59960.0
1,A,L,298.4,308.2,1471.0,39.9,110.52423968684133,No failure,2021,3,17,2,1,9.800000000000011,58692.9
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,60.7,216.0,Overstrain Failure,2021,7,3,5,3,9.968722723305177,93553.41377451715
1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,52.3,218.0,Overstrain Failure,2021,7,2,4,3,9.968722723305177,80606.97760143733
2,B,L,300.0643584521385,310.03308117544367,1586.0,35.5,110.52423968684133,No failure,2014,3,17,0,1,9.968722723305177,56303.0
2,A,M,298.4,308.2,1468.0,39.9,110.52423968684133,No failure,2014,3,15,5,1,9.800000000000011,58573.2
2,B,M,300.0643584521385,310.03308117544367,1440.0,43.6,110.52423968684133,No failure,2014,5,27,1,2,9.968722723305177,62784.0
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,26.0,8.0,No failure,2014,5,22,3,2,9.968722723305177,40072.3024404851
2,A,H,298.4,308.2,1612.0,39.9,110.52423968684133,No failure,2014,5,23,4,2,9.800000000000011,64318.799999999996
2,B,H,300.0643584521385,310.03308117544367,1458.0,42.9,110.52423968684133,No failure,2014,5,25,6,2,9.968722723305177,62548.2
2,B,L,300.0643584521385,310.03308117544367,1433.0,62.3,110.52423968684133,Power Failure,2014,5,26,0,2,9.968722723305177,89275.9
2,B,L,300.0643584521385,310.03308117544367,1318.0,59.1,110.52423968684133,No failure,2014,7,25,4,3,9.968722723305177,77893.8
2,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,35.0,24.0,No failure,2014,7,25,4,3,9.968722723305177,53943.484054499175
2,B,L,300.0643584521385,310.03308117544367,1462.0,50.8,110.52423968684133,No failure,2014,11,14,4,4,9.968722723305177,74269.59999999999
2,B,M,300.0643584521385,310.03308117544367,1924.0,20.8,110.52423968684133,No failure,2014,11,16,6,4,9.968722723305177,40019.200000000004
2,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,33.7,32.0,No failure,2014,11,13,3,4,9.968722723305177,51939.86893247493
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,58.3,35.0,No failure,2014,11,16,6,4,9.968722723305177,89854.43201078006
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,43.5,37.0,No failure,2015,3,11,2,1,9.968722723305177,67044.0444677347
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,34.7,39.0,No failure,2015,3,6,4,1,9.968722723305177,53481.111334032044
2,B,L,300.0643584521385,310.03308117544367,1988.0,21.4,110.52423968684133,No failure,2015,3,6,4,1,9.968722723305177,42543.2
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,50.2,43.0,No failure,2015,6,25,3,2,9.968722723305177,77370.36855816739
2,A,L,298.2,308.3,1304.0,39.9,110.52423968684133,No failure,2015,6,26,4,2,10.100000000000023,52029.6
2,A,L,298.2,308.3,1475.0,39.9,110.52423968684133,No failure,2015,9,5,5,3,10.100000000000023,58852.5
2,B,H,300.0643584521385,310.03308117544367,1824.0,24.2,110.52423968684133,No failure,2015,9,8,1,3,9.968722723305177,44140.799999999996
2,B,M,300.0643584521385,310.03308117544367,1342.0,48.1,110.52423968684133,No failure,2016,1,1,4,1,9.968722723305177,64550.200000000004
2,A,L,298.1,308.2,1485.0,39.9,110.52423968684133,No failure,2015,12,30,2,4,10.099999999999966,59251.5
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,30.6,59.0,No failure,2015,12,31,3,4,9.968722723305177,47162.017487647856
2,B,L,300.0643584521385,310.03308117544367,1446.0,38.2,110.52423968684133,No failure,2016,3,25,4,1,9.968722723305177,55237.200000000004
2,B,L,300.0643584521385,310.03308117544367,1301.0,56.0,110.52423968684133,No failure,2016,3,26,5,1,9.968722723305177,72856.0
2,A,L,298.2,308.4,1379.0,39.9,110.52423968684133,No failure,2016,3,24,3,1,10.199999999999989,55022.1
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,33.6,67.0,No failure,2016,5,24,1,2,9.968722723305177,51785.74469231921
2,B,M,300.0643584521385,310.03308117544367,1539.0,43.4,110.52423968684133,No failure,2016,5,23,0,2,9.968722723305177,66792.59999999999
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,49.9,72.0,No failure,2016,5,25,2,2,9.968722723305177,76907.99583770025
2,A,L,298.2,308.4,1666.0,39.9,110.52423968684133,No failure,2016,5,24,1,2,10.199999999999989,66473.4
2,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,51.8,76.0,No failure,2016,5,24,1,2,9.968722723305177,79836.35640065878
2,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,34.6,81.0,No failure,2016,8,14,6,3,9.968722723305177,53326.987093876334
2,B,M,300.0643584521385,310.03308117544367,2678.0,10.7,110.52423968684133,Power Failure,2016,10,16,6,4,9.968722723305177,28654.6
2,A,L,298.3,308.5,1453.0,39.9,110.52423968684133,No failure,2016,10,14,4,4,10.199999999999989,57974.7
2,B,H,300.0643584521385,310.03308117544367,1432.0,49.5,110.52423968684133,No failure,2016,10,17,0,4,9.968722723305177,70884.0
2,A,M,298.4,308.6,1527.0,39.9,110.52423968684133,No failure,2016,10,14,4,4,10.200000000000045,60927.299999999996
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,35.0,99.0,No failure,2016,10,17,0,4,9.968722723305177,53943.484054499175
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,47.1,101.0,No failure,2016,12,27,1,4,9.968722723305177,72592.51711334032
2,B,L,300.0643584521385,310.03308117544367,1609.0,35.0,110.52423968684133,No failure,2016,12,27,1,4,9.968722723305177,56315.0
2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,41.2,105.0,No failure,2016,12,28,2,4,9.968722723305177,63499.18694415332
2,B,M,300.0643584521385,310.03308117544367,1636.0,35.7,110.52423968684133,No failure,2016,12,31,5,4,9.968722723305177,58405.200000000004
2,B,L,300.0643584521385,310.03308117544367,1490.0,37.9,110.52423968684133,No failure,2016,12,26,0,4,9.968722723305177,56471.0
2,A,L,298.4,308.5,1741.0,39.9,110.52423968684133,No failure,2017,4,18,1,2,10.100000000000023,69465.9
2,B,M,300.0643584521385,310.03308117544367,1344.0,53.0,110.52423968684133,No failure,2017,4,18,1,2,9.968722723305177,71232.0
2,B,L,300.0643584521385,310.03308117544367,1609.0,35.3,110.52423968684133,No failure,2017,4,17,0,2,9.968722723305177,56797.7
2,B,M,300.0643584521385,310.03308117544367,1421.0,60.7,110.52423968684133,Power Failure,2017,4,22,5,2,9.968722723305177,86254.7
