Date,System,Control,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic
2016-09-10 22:05:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,48.2,86.0,No failure
2016-09-09 23:06:00,0,A,L,299.0,309.4,1798.0,39.9,110.52423968684131,No failure
2016-09-11 07:38:00,0,A,L,299.0,309.4,1419.0,39.9,110.52423968684131,No failure
2016-09-08 16:44:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,32.5,93.0,No failure
2016-12-27 12:23:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,34.7,95.0,No failure
2016-12-27 23:41:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,48.6,98.0,No failure
2016-12-30 18:27:00,0,A,M,298.9,309.2,1581.0,39.9,110.52423968684131,No failure
2016-12-27 21:57:00,0,A,L,298.8,309.1,1439.0,39.9,110.52423968684131,No failure
2017-04-13 16:14:00,0,B,H,300.0643584521385,310.03308117544367,1379.0,50.7,110.52423968684131,No failure
2017-04-13 22:34:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,52.5,111.0,No failure
2017-04-11 20:19:00,0,B,L,300.0643584521385,310.03308117544367,1362.0,45.4,110.52423968684131,No failure
2017-04-14 09:19:00,0,B,L,300.0643584521385,310.03308117544367,1368.0,50.8,110.52423968684131,No failure
2017-04-12 05:05:00,0,A,M,298.8,309.1,1368.0,39.9,110.52423968684131,No failure
2017-07-21 14:25:00,0,B,H,300.0643584521385,310.03308117544367,1372.0,48.5,110.52423968684131,No failure
2017-07-22 03:27:00,0,A,M,298.8,309.1,1472.0,39.9,110.52423968684131,No failure
2017-07-24 12:06:00,0,A,L,298.8,309.1,1489.0,39.9,110.52423968684131,No failure
2017-07-22 11:25:00,0,A,M,298.7,309.0,1843.0,39.9,110.52423968684131,No failure
2017-07-22 11:25:00,0,B,L,300.0643584521385,310.03308117544367,1418.0,46.3,110.52423968684131,No failure
2017-10-03 15:06:00,0,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,53.9,135.0,No failure
2017-12-10 01:44:00,0,A,M,298.9,309.2,1412.0,39.9,110.52423968684131,No failure
2017-12-08 19:31:00,0,B,L,300.0643584521385,310.03308117544367,2861.0,4.6,110.52423968684131,Power Failure
2017-12-13 07:05:00,0,A,L,298.9,309.1,1383.0,39.9,110.52423968684131,No failure
2018-02-26 23:31:00,0,B,H,300.0643584521385,310.03308117544367,1497.0,43.8,110.52423968684131,No failure
2018-02-27 03:36:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,35.1,152.0,No failure
2018-06-03 00:22:00,0,A,L,298.7,309.0,1691.0,39.9,110.52423968684131,No failure
2018-08-21 02:47:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,40.7,156.0,No failure
2018-08-18 05:41:00,0,B,L,300.0643584521385,310.03308117544367,1477.0,42.4,110.52423968684131,No failure
2018-11-01 14:47:00,0,B,L,300.0643584521385,310.03308117544367,1513.0,40.3,110.52423968684131,No failure
2018-11-02 17:23:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,29.5,162.0,No failure
2018-10-31 18:51:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,54.4,165.0,No failure
2019-02-25 22:53:00,0,B,L,300.0643584521385,310.03308117544367,1393.0,52.6,110.52423968684131,No failure
2019-02-26 05:03:00,0,B,M,300.0643584521385,310.03308117544367,1592.0,38.2,110.52423968684131,No failure
2019-02-26 16:53:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,22.9,172.0,No failure
2019-02-27 18:44:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,25.9,174.0,No failure
2019-03-02 14:44:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,38.6,177.0,No failure
2019-06-25 11:33:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,45.1,179.0,No failure
2019-06-23 04:32:00,0,B,M,300.0643584521385,310.03308117544367,1679.0,28.7,110.52423968684131,No failure
2019-06-25 03:26:00,0,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,44.1,184.0,No failure
2019-06-27 17:33:00,0,A,L,298.8,308.9,1527.0,39.9,110.52423968684131,No failure
2019-06-23 13:25:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,65.7,191.0,Overstrain Failure
2019-09-12 06:39:00,0,B,M,300.0643584521385,310.03308117544367,1924.0,22.6,110.52423968684131,No failure
2019-11-23 06:14:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,45.5,196.0,No failure
2020-03-11 15:25:00,0,A,L,298.9,309.1,1369.0,39.9,110.52423968684131,No failure
2020-03-14 03:47:00,0,B,L,300.0643584521385,310.03308117544367,1592.0,35.0,110.52423968684131,No failure
2020-07-08 10:22:00,0,B,L,300.0643584521385,310.03308117544367,1601.0,32.3,110.52423968684131,No failure
2020-11-05 06:30:00,0,A,L,298.8,308.9,1379.0,39.9,110.52423968684131,No failure
2020-11-10 05:23:00,0,A,L,298.8,308.9,1461.0,39.9,110.52423968684131,No failure
2021-02-13 01:10:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,41.3,208.0,Tool Wear Failure
2014-03-19 10:16:00,1,B,L,300.0643584521385,310.03308117544367,1398.0,51.5,110.52423968684131,No failure
2014-07-13 20:05:00,1,A,L,298.8,308.9,1402.0,39.9,110.52423968684131,No failure
2014-07-10 17:57:00,1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,49.9,4.0,No failure
2014-10-31 13:17:00,1,A,L,298.9,308.9,1450.0,39.9,110.52423968684131,No failure
2014-11-04 11:11:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,40.8,11.0,No failure
2014-11-01 00:58:00,1,B,L,300.0643584521385,310.03308117544367,1469.0,40.1,110.52423968684131,No failure
2014-11-04 15:23:00,1,A,L,298.9,308.9,1422.0,39.9,110.52423968684131,No failure
2014-11-02 23:33:00,1,B,M,300.0643584521385,310.03308117544367,1804.0,26.8,110.52423968684131,No failure
2015-01-04 06:35:00,1,B,H,300.0643584521385,310.03308117544367,1436.0,43.9,110.52423968684131,No failure
2015-01-07 07:44:00,1,B,L,300.0643584521385,310.03308117544367,1544.0,31.8,110.52423968684131,No failure
2015-01-07 18:31:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,45.2,27.0,No failure
2015-05-04 20:15:00,1,B,M,300.0643584521385,310.03308117544367,1487.0,39.5,110.52423968684131,No failure
2015-05-03 03:10:00,1,B,L,300.0643584521385,310.03308117544367,1753.0,25.8,110.52423968684131,No failure
2015-07-23 10:25:00,1,B,L,300.0643584521385,310.03308117544367,1830.0,24.9,110.52423968684131,No failure
2015-07-25 14:01:00,1,B,M,300.0643584521385,310.03308117544367,1727.0,27.1,110.52423968684131,No failure
2015-07-28 17:55:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,43.0,40.0,No failure
2015-07-27 21:20:00,1,B,L,300.0643584521385,310.03308117544367,1622.0,31.9,110.52423968684131,No failure
2015-07-25 06:16:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,52.2,44.0,No failure
2015-11-23 18:40:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,35.3,47.0,No failure
2015-11-22 08:28:00,1,B,M,300.0643584521385,310.03308117544367,1750.0,29.9,110.52423968684131,No failure
2015-11-21 03:40:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,32.7,53.0,No failure
2015-11-23 10:06:00,1,A,L,298.8,308.8,1523.0,39.9,110.52423968684131,No failure
2016-01-29 00:19:00,1,A,L,298.8,308.9,1852.0,39.9,110.52423968684131,No failure
2016-01-27 22:25:00,1,A,L,298.8,308.8,1991.0,39.9,110.52423968684131,No failure
2016-01-29 11:40:00,1,A,L,298.8,308.8,1555.0,39.9,110.52423968684131,No failure
2016-04-29 01:46:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,40.5,63.0,No failure
2016-05-01 16:02:00,1,A,L,298.8,308.7,1450.0,39.9,110.52423968684131,No failure
2016-04-29 09:48:00,1,A,L,298.8,308.7,1591.0,39.9,110.52423968684131,No failure
2016-04-28 16:45:00,1,B,L,300.0643584521385,310.03308117544367,1445.0,48.5,110.52423968684131,No failure
2016-04-26 21:10:00,1,B,M,300.0643584521385,310.03308117544367,1497.0,46.8,110.52423968684131,No failure
2016-08-01 05:16:00,1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,32.7,75.0,No failure
2016-07-31 05:49:00,1,A,L,298.9,308.7,1572.0,39.9,110.52423968684131,No failure
2016-08-02 17:56:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,22.5,82.0,No failure
2016-08-04 19:28:00,1,A,H,298.7,308.6,1499.0,39.9,110.52423968684131,No failure
2016-08-03 21:45:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,39.5,89.0,No failure
2016-11-25 14:10:00,1,B,M,300.0643584521385,310.03308117544367,1486.0,41.9,110.52423968684131,No failure
2016-11-24 16:58:00,1,A,L,298.8,308.6,1680.0,39.9,110.52423968684131,No failure
2017-03-06 17:43:00,1,A,L,298.8,308.6,1431.0,39.9,110.52423968684131,No failure
2017-03-03 02:36:00,1,B,L,300.0643584521385,310.03308117544367,1564.0,34.1,110.52423968684131,No failure
2017-03-03 15:57:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,33.0,101.0,No failure
2017-05-12 04:54:00,1,A,M,298.8,308.6,1707.0,39.9,110.52423968684131,No failure
2017-08-02 01:40:00,1,B,L,300.0643584521385,310.03308117544367,1467.0,40.7,110.52423968684131,No failure
2017-08-03 13:10:00,1,A,L,298.9,308.7,1433.0,39.9,110.52423968684131,No failure
2017-08-03 11:26:00,1,A,L,298.9,308.7,1558.0,39.9,110.52423968684131,No failure
2017-10-11 10:13:00,1,A,L,299.0,308.8,1310.0,39.9,110.52423968684131,No failure
2017-10-13 05:45:00,1,B,L,300.0643584521385,310.03308117544367,1546.0,43.4,110.52423968684131,No failure
2017-10-11 22:29:00,1,A,L,298.9,308.7,1727.0,39.9,110.52423968684131,No failure
2017-10-13 11:27:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,32.2,118.0,No failure
2017-10-16 04:57:00,1,A,L,299.0,308.6,1329.0,39.9,110.52423968684131,No failure
2017-12-23 07:33:00,1,B,L,300.0643584521385,310.03308117544367,1413.0,46.5,110.52423968684131,No failure
2017-12-24 01:34:00,1,B,L,300.0643584521385,310.03308117544367,1587.0,38.6,110.52423968684131,No failure
2018-04-20 13:09:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,34.3,126.0,No failure
2018-04-20 06:05:00,1,A,L,298.8,308.4,1473.0,39.9,110.52423968684131,No failure
2018-04-19 07:30:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,27.7,130.0,No failure
2018-07-12 09:37:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,43.2,132.0,No failure
2018-07-13 16:45:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,49.6,135.0,No failure
2018-07-12 19:53:00,1,B,L,300.0643584521385,310.03308117544367,1369.0,53.0,110.52423968684131,No failure
2018-10-02 03:40:00,1,B,M,300.0643584521385,310.03308117544367,1711.0,28.5,110.52423968684131,No failure
2018-10-02 07:49:00,1,A,H,298.7,308.5,1420.0,39.9,110.52423968684131,No failure
2018-10-04 17:36:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,55.3,148.0,No failure
2018-10-03 08:47:00,1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,49.4,150.0,No failure
2018-10-05 16:31:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,55.8,155.0,No failure
2018-12-17 07:00:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,36.1,157.0,No failure
2019-03-23 22:19:00,1,B,L,300.0643584521385,310.03308117544367,1544.0,35.2,110.52423968684131,No failure
2019-03-24 08:40:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,28.2,161.0,No failure
2019-03-23 17:44:00,1,B,H,300.0643584521385,310.03308117544367,1407.0,50.5,110.52423968684131,No failure
2019-07-08 11:40:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,42.4,169.0,No failure
2019-07-12 19:49:00,1,B,L,300.0643584521385,310.03308117544367,1513.0,33.6,110.52423968684131,No failure
2019-07-10 00:27:00,1,B,H,300.0643584521385,310.03308117544367,1612.0,36.1,110.52423968684131,No failure
2019-10-28 05:41:00,1,B,L,300.0643584521385,310.03308117544367,1515.0,40.1,110.52423968684131,No failure
2019-10-30 10:03:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,48.0,181.0,No failure
2020-02-26 14:11:00,1,A,L,298.4,308.3,1473.0,39.9,110.52423968684131,No failure
2020-06-21 01:15:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,42.7,186.0,No failure
2020-06-20 17:45:00,1,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,37.6,188.0,No failure
2020-06-17 01:11:00,1,A,M,298.4,308.2,1584.0,39.9,110.52423968684131,No failure
2020-09-16 17:15:00,1,B,L,300.0643584521385,310.03308117544367,1850.0,27.0,110.52423968684131,No failure
2020-09-16 13:29:00,1,B,L,300.0643584521385,310.03308117544367,1528.0,36.2,110.52423968684131,No failure
2020-09-15 15:21:00,1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,19.8,198.0,No failure
2020-09-13 21:59:00,1,A,M,298.4,308.1,1495.0,39.9,110.52423968684131,No failure
2020-09-16 03:05:00,1,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,43.5,206.0,No failure
2021-01-14 00:52:00,1,B,M,300.0643584521385,310.03308117544367,1499.0,40.0,110.52423968684131,No failure
2021-03-17 23:09:00,1,A,L,298.4,308.2,1471.0,39.9,110.52423968684131,No failure
2021-07-03 03:14:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,60.7,216.0,Overstrain Failure
2021-07-02 04:26:00,1,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,52.3,218.0,Overstrain Failure
2014-03-17 10:56:00,2,B,L,300.0643584521385,310.03308117544367,1586.0,35.5,110.52423968684131,No failure
2014-03-15 23:01:00,2,A,M,298.4,308.2,1468.0,39.9,110.52423968684131,No failure
2014-05-27 04:25:00,2,B,M,300.0643584521385,310.03308117544367,1440.0,43.6,110.52423968684131,No failure
2014-05-22 05:28:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,26.0,8.0,No failure
2014-05-23 23:33:00,2,A,H,298.4,308.2,1612.0,39.9,110.52423968684131,No failure
2014-05-25 15:00:00,2,B,H,300.0643584521385,310.03308117544367,1458.0,42.9,110.52423968684131,No failure
2014-05-26 20:37:00,2,B,L,300.0643584521385,310.03308117544367,1433.0,62.3,110.52423968684131,Power Failure
2014-07-25 19:36:00,2,B,L,300.0643584521385,310.03308117544367,1318.0,59.1,110.52423968684131,No failure
2014-07-25 19:58:00,2,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,35.0,24.0,No failure
2014-11-14 22:08:00,2,B,L,300.0643584521385,310.03308117544367,1462.0,50.8,110.52423968684131,No failure
2014-11-16 18:13:00,2,B,M,300.0643584521385,310.03308117544367,1924.0,20.8,110.52423968684131,No failure
2014-11-13 19:45:00,2,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,33.7,32.0,No failure
2014-11-16 03:49:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,58.3,35.0,No failure
2015-03-11 13:52:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,43.5,37.0,No failure
2015-03-06 04:27:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,34.7,39.0,No failure
2015-03-06 01:17:00,2,B,L,300.0643584521385,310.03308117544367,1988.0,21.4,110.52423968684131,No failure
2015-06-25 11:18:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,50.2,43.0,No failure
2015-06-26 05:33:00,2,A,L,298.2,308.3,1304.0,39.9,110.52423968684131,No failure
2015-09-05 01:34:00,2,A,L,298.2,308.3,1475.0,39.9,110.52423968684131,No failure
2015-09-08 18:55:00,2,B,H,300.0643584521385,310.03308117544367,1824.0,24.2,110.52423968684131,No failure
2016-01-01 00:10:00,2,B,M,300.0643584521385,310.03308117544367,1342.0,48.1,110.52423968684131,No failure
2015-12-30 09:10:00,2,A,L,298.1,308.2,1485.0,39.9,110.52423968684131,No failure
2015-12-31 10:22:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,30.6,59.0,No failure
2016-03-25 18:26:00,2,B,L,300.0643584521385,310.03308117544367,1446.0,38.2,110.52423968684131,No failure
2016-03-26 00:11:00,2,B,L,300.0643584521385,310.03308117544367,1301.0,56.0,110.52423968684131,No failure
2016-03-24 20:21:00,2,A,L,298.2,308.4,1379.0,39.9,110.52423968684131,No failure
2016-05-24 17:31:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,33.6,67.0,No failure
2016-05-23 22:09:00,2,B,M,300.0643584521385,310.03308117544367,1539.0,43.4,110.52423968684131,No failure
2016-05-25 12:22:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,49.9,72.0,No failure
2016-05-24 21:30:00,2,A,L,298.2,308.4,1666.0,39.9,110.52423968684131,No failure
2016-05-24 03:35:00,2,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,51.8,76.0,No failure
2016-08-14 03:54:00,2,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,34.6,81.0,No failure
2016-10-16 20:36:00,2,B,M,300.0643584521385,310.03308117544367,2678.0,10.7,110.52423968684131,Power Failure
2016-10-14 00:53:00,2,A,L,298.3,308.5,1453.0,39.9,110.52423968684131,No failure
2016-10-17 07:49:00,2,B,H,300.0643584521385,310.03308117544367,1432.0,49.5,110.52423968684131,No failure
2016-10-14 04:36:00,2,A,M,298.4,308.6,1527.0,39.9,110.52423968684131,No failure
2016-10-17 07:57:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,35.0,99.0,No failure
2016-12-27 23:15:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,47.1,101.0,No failure
2016-12-27 13:46:00,2,B,L,300.0643584521385,310.03308117544367,1609.0,35.0,110.52423968684131,No failure
2016-12-28 14:56:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,41.2,105.0,No failure
2016-12-31 18:08:00,2,B,M,300.0643584521385,310.03308117544367,1636.0,35.7,110.52423968684131,No failure
2016-12-26 18:36:00,2,B,L,300.0643584521385,310.03308117544367,1490.0,37.9,110.52423968684131,No failure
2017-04-18 20:22:00,2,A,L,298.4,308.5,1741.0,39.9,110.52423968684131,No failure
2017-04-18 22:20:00,2,B,M,300.0643584521385,310.03308117544367,1344.0,53.0,110.52423968684131,No failure
2017-04-17 07:35:00,2,B,L,300.0643584521385,310.03308117544367,1609.0,35.3,110.52423968684131,No failure
2017-04-22 04:10:00,2,B,M,300.0643584521385,310.03308117544367,1421.0,60.7,110.52423968684131,Power Failure
2017-08-09 23:31:00,2,A,L,298.4,308.6,1591.0,39.9,110.52423968684131,No failure
2017-08-10 12:54:00,2,B,L,300.0643584521385,310.03308117544367,1477.0,44.0,110.52423968684131,No failure
2017-08-14 08:16:00,2,B,L,300.0643584521385,310.03308117544367,1523.0,36.1,110.52423968684131,No failure
2017-12-03 07:42:00,2,B,L,300.0643584521385,310.03308117544367,1575.0,33.9,110.52423968684131,No failure
2017-11-30 03:23:00,2,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,52.9,130.0,No failure
2017-11-30 06:22:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,44.9,135.0,No failure
2017-12-02 03:08:00,2,B,M,300.0643584521385,310.03308117544367,1589.0,37.1,110.52423968684131,No failure
2018-02-26 07:59:00,2,A,L,298.3,308.6,1548.0,39.9,110.52423968684131,No failure
2018-02-25 22:13:00,2,A,L,298.3,308.6,1499.0,39.9,110.52423968684131,No failure
2018-06-06 06:47:00,2,A,L,298.3,308.5,1664.0,39.9,110.52423968684131,No failure
2018-06-07 04:46:00,2,B,L,300.0643584521385,310.03308117544367,1447.0,38.1,110.52423968684131,No failure
2018-06-10 08:27:00,2,B,M,300.0643584521385,310.03308117544367,1434.0,46.2,110.52423968684131,No failure
2018-09-10 02:34:00,2,A,L,298.3,308.5,1416.0,39.9,110.52423968684131,No failure
2018-09-11 05:24:00,2,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,24.3,153.0,No failure
2018-09-12 05:22:00,2,B,L,300.0643584521385,310.03308117544367,1304.0,45.0,110.52423968684131,No failure
2018-12-01 01:41:00,2,B,L,300.0643584521385,310.03308117544367,1569.0,34.4,110.52423968684131,No failure
2018-12-02 23:49:00,2,B,L,300.0643584521385,310.03308117544367,1584.0,29.3,110.52423968684131,No failure
2018-11-30 07:29:00,2,B,L,300.0643584521385,310.03308117544367,1362.0,53.8,110.52423968684131,No failure
2019-03-30 00:36:00,2,B,L,300.0643584521385,310.03308117544367,1329.0,49.2,110.52423968684131,No failure
2019-03-30 02:51:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,36.1,168.0,No failure
2019-07-24 11:02:00,2,A,M,298.3,308.5,1629.0,39.9,110.52423968684131,No failure
2019-07-23 20:26:00,2,A,L,298.3,308.5,1538.0,39.9,110.52423968684131,No failure
2019-07-26 01:30:00,2,A,L,298.3,308.6,1570.0,39.9,110.52423968684131,No failure
2019-07-23 11:49:00,2,A,L,298.3,308.4,1408.0,39.9,110.52423968684131,No failure
2019-07-23 02:31:00,2,A,L,298.2,308.4,1424.0,39.9,110.52423968684131,No failure
2019-11-04 01:11:00,2,B,L,300.0643584521385,310.03308117544367,1512.0,34.9,110.52423968684131,No failure
2019-11-06 04:14:00,2,A,L,298.2,308.4,1478.0,39.9,110.52423968684131,No failure
2020-01-09 09:04:00,2,A,M,298.1,308.3,1680.0,39.9,110.52423968684131,No failure
2020-01-09 17:07:00,2,A,L,298.1,308.3,1495.0,39.9,110.52423968684131,No failure
2020-01-09 10:35:00,2,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,36.6,190.0,No failure
2020-01-08 01:03:00,2,B,L,300.0643584521385,310.03308117544367,1393.0,50.3,110.52423968684131,No failure
2020-04-23 22:52:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,30.6,195.0,No failure
2020-08-11 06:00:00,2,B,M,300.0643584521385,310.03308117544367,1339.0,51.6,110.52423968684131,No failure
2020-08-06 18:26:00,2,A,L,298.0,308.1,1777.0,39.9,110.52423968684131,No failure
2020-08-08 02:07:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,58.8,202.0,Overstrain Failure
2020-08-10 11:36:00,2,A,L,298.0,308.2,1442.0,39.9,110.52423968684131,No failure
2020-08-10 05:53:00,2,B,M,300.0643584521385,310.03308117544367,1395.0,49.1,110.52423968684131,No failure
2020-10-17 22:31:00,2,A,M,297.9,308.1,1627.0,39.9,110.52423968684131,No failure
2020-10-18 15:00:00,2,A,L,297.9,308.1,1585.0,39.9,110.52423968684131,No failure
2021-01-05 19:51:00,2,A,L,298.0,308.2,1469.0,39.9,110.52423968684131,No failure
2021-01-02 06:02:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,56.8,216.0,Overstrain Failure
2021-01-02 09:55:00,2,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,56.2,218.0,Overstrain Failure
2014-03-24 02:55:00,3,B,L,300.0643584521385,310.03308117544367,1662.0,32.7,110.52423968684131,No failure
2014-03-25 02:58:00,3,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,42.6,2.0,No failure
2014-03-26 18:28:00,3,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,35.8,5.0,No failure
2014-06-15 03:40:00,3,B,L,300.0643584521385,310.03308117544367,1357.0,48.2,110.52423968684131,No failure
2014-06-15 11:41:00,3,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,37.9,9.0,No failure
2014-06-11 11:41:00,3,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,40.4,11.0,No failure
2014-09-01 07:59:00,3,A,L,298.1,308.3,1331.0,39.9,110.52423968684131,No failure
2014-09-01 20:29:00,3,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,29.5,15.0,No failure
